toy_genomes/A_reference.fna	toy_genomes/A_reference.fna	99.9974	5	5
toy_genomes/A_reference.fna	toy_genomes/B_same_species_98ANI.fna	97.8456	5	5
toy_genomes/A_reference.fna	toy_genomes/C_boundary_95ANI.fna	95.0378	4	5
toy_genomes/A_reference.fna	toy_genomes/D_related_below_species_92ANI.fna	92.2922	4	5
toy_genomes/A_reference.fna	toy_genomes/E_distant_85ANI.fna	81.8233	4	5
toy_genomes/B_same_species_98ANI.fna	toy_genomes/B_same_species_98ANI.fna	99.9974	5	5
toy_genomes/B_same_species_98ANI.fna	toy_genomes/A_reference.fna	97.8464	5	5
toy_genomes/B_same_species_98ANI.fna	toy_genomes/C_boundary_95ANI.fna	93.0134	5	5
toy_genomes/B_same_species_98ANI.fna	toy_genomes/D_related_below_species_92ANI.fna	90.6149	4	5
toy_genomes/B_same_species_98ANI.fna	toy_genomes/E_distant_85ANI.fna	80.9978	3	5
toy_genomes/C_boundary_95ANI.fna	toy_genomes/C_boundary_95ANI.fna	99.9974	5	5
toy_genomes/C_boundary_95ANI.fna	toy_genomes/A_reference.fna	95.0938	5	5
toy_genomes/C_boundary_95ANI.fna	toy_genomes/B_same_species_98ANI.fna	93.0146	5	5
toy_genomes/C_boundary_95ANI.fna	toy_genomes/D_related_below_species_92ANI.fna	86.9311	4	5
toy_genomes/C_boundary_95ANI.fna	toy_genomes/E_distant_85ANI.fna	78.4327	3	5
toy_genomes/D_related_below_species_92ANI.fna	toy_genomes/D_related_below_species_92ANI.fna	99.9951	5	5
toy_genomes/D_related_below_species_92ANI.fna	toy_genomes/A_reference.fna	92.3181	4	5
toy_genomes/D_related_below_species_92ANI.fna	toy_genomes/B_same_species_98ANI.fna	90.5471	4	5
toy_genomes/D_related_below_species_92ANI.fna	toy_genomes/C_boundary_95ANI.fna	87.1787	4	5
toy_genomes/D_related_below_species_92ANI.fna	toy_genomes/E_distant_85ANI.fna	75.9991	3	5
toy_genomes/E_distant_85ANI.fna	toy_genomes/E_distant_85ANI.fna	99.9948	5	5
toy_genomes/E_distant_85ANI.fna	toy_genomes/A_reference.fna	83.2991	4	5
toy_genomes/E_distant_85ANI.fna	toy_genomes/B_same_species_98ANI.fna	81.9252	3	5
toy_genomes/E_distant_85ANI.fna	toy_genomes/C_boundary_95ANI.fna	79.2914	3	5
toy_genomes/E_distant_85ANI.fna	toy_genomes/D_related_below_species_92ANI.fna	76.8331	2	5
